Comment,Designator,Footprint,LCSC,Quantity
100k,"R2,R3",R_0805_2012Metric,C149504,2
JST_XH_S3B-XH-A-1_01x03,J1,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,C157928,1
1k,R5,R_0805_2012Metric,C17513,1
330k,R1,R_0805_2012Metric,C17629,1
4.7k,R4,R_0805_2012Metric,C17673,1
TJA1027,U2,SOIC-8_3.9x4.9mm_P1.27mm,C194371,1
3.3nF,C2,C_0402_1005Metric,C26404,1
Conn_01x12,J3,PinSocket_1x12_P2.54mm_Vertical,C2897375,1
220pF,C5,C_0402_1005Metric,C343058,1
TPS82130,U1,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,C473914,1
Conn_01x16,J2,PinSocket_1x16_P2.54mm_Vertical,C66987,1
1N4148WS,"D1,D2",D_SOD-323,C727111,2
10uF,C1,C_1210_3225Metric,C92834,1
