Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1210_3225Metric,111.874,-34.804,-90.0,top
C2,3.3nF,C_0402_1005Metric,103.094,-53.92,-90.0,top
C5,220pF,C_0402_1005Metric,110.4,-46.864,90.0,top
D1,1N4148WS,D_SOD-323,100.75,-39.2,90.0,top
D2,1N4148WS,D_SOD-323,109.5305,-51.868,0.0,top
J1,JST_XH_S3B-XH-A-1_01x03,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,103.25,-33.1,0.0,top
J2,Conn_01x16,PinSocket_1x16_P2.54mm_Vertical,92.79,-50.53,90.0,top
J3,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,113.11,-55.61,270.0,top
R1,330k,R_0805_2012Metric,95.588032,-50.55,-90.0,top
R2,100k,R_0805_2012Metric,99.2,-50.55,90.0,top
R3,100k,R_0805_2012Metric,98.45,-54.45,180.0,top
R4,4.7k,R_0805_2012Metric,97.4135,-42.599,90.0,top
R5,1k,R_0805_2012Metric,109.4875,-49.9,0.0,top
U1,TPS82130,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,104.2,-51.25,180.0,top
U2,TJA1027,SOIC-8_3.9x4.9mm_P1.27mm,104.25,-46.25,270.0,top
