Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_4x5.4,1,10uF,C401619
C2,0402,1,3.3nF,C26404
C3,CP_Elec_4x5.8,1,22uF,C401758
C5,0402,1,220pF,C343058
"D1, D2",D_SOD-323,2,1N4148WS,C727111
J1,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,JST_XH_S3B-XH-A-1_01x03,C157928
J2,PinHeader_1x19_P2.54mm_Vertical,1,Conn_01x19_Female_1_to_19,C2932678
J3,PinHeader_1x19_P2.54mm_Vertical,1,Conn_01x19_Female_20_to_38,C2932678
R1,0805,1,330k,C17629
"R2, R3",0805,2,100k,C149504
R4,0805,1,4.7k,C17673
R5,0805,1,1k,C17513
U1,CONV_TPS82140SILR,1,TPS82130,C473914
U2,SO-8_3.9x4.9mm_P1.27mm,1,TJA1027,C194371
